,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
0,tasiilaq,100,GL,1562201919,75,65.61,-37.64,44.6,10.29
1,jamestown,0,AU,1562201919,73,-33.21,138.6,49.58,9.86
2,bethel,90,US,1562201920,93,60.79,-161.76,57.2,18.34
3,saldanha,78,PT,1562201920,57,41.42,-6.55,70.1,7.54
4,port moresby,75,PG,1562201920,78,-9.47,147.16,78.8,17.22
5,hobart,20,AU,1562201920,81,-42.88,147.33,44.6,6.93
6,grand gaube,20,MU,1562201920,86,-20.01,57.66,70.0,9.84
7,trairi,22,BR,1562201683,96,-3.28,-39.27,71.54,4.27
8,rikitea,100,PF,1562201921,81,-23.12,-134.97,65.24,23.98
9,abyek,0,IR,1562201921,29,36.04,50.53,76.4,7.61
10,merauke,68,ID,1562201921,80,-8.49,140.4,76.22,16.51
11,hammerfest,90,NO,1562201921,100,70.66,23.68,44.6,11.41
12,kapaa,1,US,1562201921,66,22.08,-159.32,84.2,9.17
13,punta arenas,75,CL,1562201922,92,-53.16,-70.91,30.2,6.93
14,pascagoula,1,US,1562201646,74,30.37,-88.56,89.6,3.36
15,belaya gora,99,RU,1562201922,54,68.54,146.19,53.18,6.6
16,cochrane,88,CL,1562201922,94,-47.25,-72.57,18.44,2.57
17,kavaratti,100,IN,1562201922,82,10.57,72.64,82.16,17.22
18,yellowknife,90,CA,1562201923,71,62.45,-114.38,57.2,13.87
19,butaritari,8,KI,1562201923,67,3.07,172.79,83.96,2.82
20,puerto ayora,40,EC,1562201923,73,-0.74,-90.35,73.4,16.11
21,kozhva,6,RU,1562201923,79,65.11,57.05,63.98,3.87
22,tuktoyaktuk,75,CA,1562201923,46,69.44,-133.03,69.8,14.99
23,constitucion,90,MX,1562201924,35,23.99,-104.67,71.6,17.22
24,casper,1,US,1562201840,53,42.87,-106.31,78.01,13.87
25,ushuaia,0,AR,1562201911,92,-54.81,-68.31,24.8,12.75
26,bambous virieux,1,MU,1562201891,86,-20.34,57.76,70.0,6.69
27,jiangyou,100,CN,1562201924,89,31.78,104.73,62.18,1.52
28,quilmana,19,PE,1562201924,87,-12.95,-76.38,59.66,10.87
29,kruisfontein,0,ZA,1562201924,83,-34.0,24.73,49.94,2.37
30,bredasdorp,0,ZA,1562201925,93,-34.53,20.04,55.0,4.7
31,lorengau,3,PG,1562201925,76,-2.02,147.27,82.16,5.5
32,meulaboh,100,ID,1562201925,79,4.14,96.13,81.26,7.54
33,marawi,34,PH,1562201925,79,8.0,124.29,81.0,1.99
34,lompoc,1,US,1562201926,52,34.64,-120.46,77.0,13.87
35,hilo,90,US,1562201926,65,19.71,-155.08,82.4,13.87
36,pampierstad,0,ZA,1562201926,36,-27.78,24.69,44.36,8.16
37,cape town,20,ZA,1562201926,93,-33.93,18.42,55.99,8.05
38,tiksi,100,RU,1562201926,94,71.64,128.87,37.7,4.61
39,airai,5,TL,1562201927,55,-8.93,125.41,74.42,2.73
40,khatanga,92,RU,1562201927,85,71.98,102.47,56.24,8.55
41,busselton,100,AU,1562201735,44,-33.64,115.35,62.01,27.18
42,iquitos,0,PE,1562201898,83,-3.75,-73.25,80.6,2.17
43,fairbanks,75,US,1562201920,44,64.84,-147.72,78.01,10.29
